75: 605.499573, 867.405884 avg, 0.000000 rate, 4.517789 seconds, 4800 images
76: 601.611084, 840.826416 avg, 0.000000 rate, 4.669666 seconds, 4864 images
77: 597.427368, 816.486511 avg, 0.000000 rate, 5.052630 seconds, 4928 images
78: 590.615356, 793.899414 avg, 0.000000 rate, 4.689176 seconds, 4992 images
79: 582.592590, 772.768738 avg, 0.000000 rate, 4.605200 seconds, 5056 images
80: 578.781738, 753.370056 avg, 0.000000 rate, 4.536583 seconds, 5120 images
81: 773.512512, 755.384277 avg, 0.000000 rate, 5.469999 seconds, 5184 images
82: 767.329041, 756.578735 avg, 0.000000 rate, 6.495944 seconds, 5248 images
83: 757.446411, 756.665527 avg, 0.000000 rate, 6.505884 seconds, 5312 images
84: 747.773315, 755.776306 avg, 0.000000 rate, 6.408776 seconds, 5376 images
85: 737.918213, 753.990479 avg, 0.000000 rate, 5.794922 seconds, 5440 images
86: 725.408325, 751.132263 avg, 0.000000 rate, 5.784719 seconds, 5504 images
87: 713.388855, 747.357910 avg, 0.000000 rate, 6.220400 seconds, 5568 images
88: 704.228516, 743.044983 avg, 0.000000 rate, 5.983563 seconds, 5632 images
89: 689.457397, 737.686218 avg, 0.000000 rate, 5.649778 seconds, 5696 images
90: 679.720032, 731.889587 avg, 0.000000 rate, 5.529803 seconds, 5760 images
91: 490.085785, 707.709229 avg, 0.000000 rate, 5.140199 seconds, 5824 images
92: 482.010773, 685.139404 avg, 0.000000 rate, 5.473983 seconds, 5888 images
93: 474.472931, 664.072754 avg, 0.000000 rate, 5.175526 seconds, 5952 images
94: 462.641541, 643.929626 avg, 0.000000 rate, 4.714937 seconds, 6016 images
95: 454.524658, 624.989136 avg, 0.000000 rate, 4.597448 seconds, 6080 images
96: 445.075165, 606.997742 avg, 0.000000 rate, 4.635523 seconds, 6144 images
97: 435.390137, 589.836975 avg, 0.000000 rate, 4.586101 seconds, 6208 images
98: 426.707214, 573.523987 avg, 0.000000 rate, 4.827438 seconds, 6272 images
99: 413.876678, 557.559265 avg, 0.000000 rate, 5.106873 seconds, 6336 images
100: 405.605103, 542.363831 avg, 0.000000 rate, 4.688930 seconds, 6400 images
101: 888.754517, 577.002930 avg, 0.000000 rate, 8.519599 seconds, 6464 images
102: 867.382690, 606.040894 avg, 0.000000 rate, 8.958085 seconds, 6528 images
103: 845.095581, 629.946350 avg, 0.000000 rate, 9.668411 seconds, 6592 images
104: 815.149048, 648.466614 avg, 0.000000 rate, 9.687598 seconds, 6656 images
105: 787.569824, 662.376953 avg, 0.000000 rate, 9.944438 seconds, 6720 images
106: 760.464966, 672.185730 avg, 0.000000 rate, 9.714590 seconds, 6784 images
107: 727.263672, 677.693542 avg, 0.000000 rate, 9.100934 seconds, 6848 images
108: 697.703735, 679.694580 avg, 0.000000 rate, 8.749462 seconds, 6912 images
109: 666.890991, 678.414246 avg, 0.000000 rate, 8.846277 seconds, 6976 images
110: 634.925293, 674.065369 avg, 0.000000 rate, 8.978906 seconds, 7040 images
111: 226.042694, 629.263123 avg, 0.000000 rate, 4.517618 seconds, 7104 images
112: 219.312302, 588.268066 avg, 0.000000 rate, 4.511627 seconds, 7168 images
113: 207.245758, 550.165833 avg, 0.000000 rate, 4.212072 seconds, 7232 images
114: 197.124588, 514.861694 avg, 0.000000 rate, 4.074448 seconds, 7296 images
115: 188.312210, 482.206757 avg, 0.000000 rate, 4.208586 seconds, 7360 images
116: 179.396088, 451.925690 avg, 0.000000 rate, 4.830697 seconds, 7424 images
117: 173.672119, 424.100342 avg, 0.000000 rate, 4.462039 seconds, 7488 images
118: 167.280975, 398.418396 avg, 0.000000 rate, 4.196758 seconds, 7552 images
119: 156.472443, 374.223816 avg, 0.000000 rate, 4.239236 seconds, 7616 images
120: 151.503784, 351.951813 avg, 0.000000 rate, 4.257659 seconds, 7680 images
121: 120.930122, 328.849640 avg, 0.000000 rate, 4.388731 seconds, 7744 images
122: 117.742531, 307.738922 avg, 0.000000 rate, 4.529828 seconds, 7808 images
123: 112.559761, 288.221008 avg, 0.000000 rate, 4.527092 seconds, 7872 images
124: 108.210243, 270.219940 avg, 0.000000 rate, 4.059907 seconds, 7936 images
125: 102.929092, 253.490860 avg, 0.000000 rate, 3.770976 seconds, 8000 images
126: 99.347946, 238.076569 avg, 0.000000 rate, 3.838185 seconds, 8064 images
127: 96.591583, 223.928070 avg, 0.000000 rate, 3.935140 seconds, 8128 images
128: 92.320686, 210.767334 avg, 0.000000 rate, 4.429887 seconds, 8192 images
129: 89.409149, 198.631516 avg, 0.000000 rate, 4.048090 seconds, 8256 images
130: 86.884796, 187.456848 avg, 0.000000 rate, 4.373309 seconds, 8320 images
131: 139.418335, 182.653000 avg, 0.000000 rate, 6.047089 seconds, 8384 images
132: 131.910904, 177.578796 avg, 0.000000 rate, 5.609027 seconds, 8448 images
133: 127.976448, 172.618561 avg, 0.000000 rate, 5.571298 seconds, 8512 images
134: 123.025749, 167.659286 avg, 0.000000 rate, 6.159255 seconds, 8576 images
135: 117.602112, 162.653564 avg, 0.000000 rate, 6.018824 seconds, 8640 images
136: 114.038574, 157.792068 avg, 0.000000 rate, 5.985519 seconds, 8704 images
137: 109.238976, 152.936752 avg, 0.000000 rate, 5.818673 seconds, 8768 images
138: 103.997894, 148.042862 avg, 0.000000 rate, 5.514897 seconds, 8832 images
139: 99.780334, 143.216614 avg, 0.000000 rate, 5.345287 seconds, 8896 images
140: 95.754120, 138.470367 avg, 0.000000 rate, 5.520938 seconds, 8960 images
141: 171.738297, 141.797165 avg, 0.000000 rate, 9.833304 seconds, 9024 images
142: 163.435608, 143.961014 avg, 0.000000 rate, 9.330120 seconds, 9088 images
143: 157.305405, 145.295456 avg, 0.000000 rate, 9.093273 seconds, 9152 images
144: 147.089996, 145.474915 avg, 0.000000 rate, 9.066949 seconds, 9216 images
145: 137.860992, 144.713516 avg, 0.000000 rate, 8.871827 seconds, 9280 images
146: 131.874313, 143.429596 avg, 0.000000 rate, 9.663366 seconds, 9344 images
147: 121.067413, 141.193375 avg, 0.000000 rate, 9.666370 seconds, 9408 images
148: 111.926865, 138.266724 avg, 0.000000 rate, 8.896374 seconds, 9472 images
149: 107.477356, 135.187790 avg, 0.000000 rate, 9.009716 seconds, 9536 images
150: 97.159218, 131.384933 avg, 0.000001 rate, 9.676674 seconds, 9600 images
151: 29.823456, 121.228783 avg, 0.000001 rate, 3.858025 seconds, 9664 images
152: 28.794199, 111.985321 avg, 0.000001 rate, 4.248251 seconds, 9728 images
153: 26.663893, 103.453178 avg, 0.000001 rate, 4.603835 seconds, 9792 images
154: 25.391693, 95.647034 avg, 0.000001 rate, 4.120356 seconds, 9856 images
155: 24.312611, 88.513588 avg, 0.000001 rate, 4.515667 seconds, 9920 images
156: 22.908894, 81.953117 avg, 0.000001 rate, 4.115185 seconds, 9984 images
